condition,budget,n_robots,id,subset,best_iou,best_iou_vs_original,mean_iou,mean_iou_vs_original,std_iou,min_iou,n_runs,seconds
big-n5,big,5,digits_7_dejavusans-bold,digits,0.7828,0.7828,0.755,0.755,0.0204,0.7257,5,91.1
big-n5,big,5,digits_7_dejavusansmono-bold,digits,0.7343,0.7343,0.7008,0.7008,0.0317,0.6438,5,92.1
big-n5,big,5,digits_7_dejavuserif-bold,digits,0.5831,0.5831,0.5478,0.5478,0.0221,0.516,5,92.2
big-n5,big,5,digits_8_dejavusans-bold,digits,0.7907,0.7907,0.7763,0.7763,0.01,0.7594,5,90.1
big-n5,big,5,digits_8_dejavusansmono-bold,digits,0.7391,0.7391,0.7054,0.7054,0.0246,0.6676,5,89.5
big-n5,big,5,digits_8_dejavuserif-bold,digits,0.7387,0.7387,0.6984,0.6984,0.0232,0.6759,5,88.4
big-n5,big,5,digits_9_dejavusans-bold,digits,0.7653,0.7653,0.753,0.753,0.0127,0.7289,5,89.2
big-n5,big,5,digits_9_dejavusansmono-bold,digits,0.7282,0.7282,0.7213,0.7213,0.0084,0.7051,5,90.2
big-n5,big,5,digits_9_dejavuserif-bold,digits,0.7255,0.7255,0.6877,0.6877,0.0373,0.6205,5,89.8
big-n5,big,5,letters_lower_a_dejavusans-bold,letters_lower,0.7817,0.7817,0.7456,0.7456,0.0284,0.7085,5,91.4
big-n5,big,5,letters_lower_a_dejavusansmono-bold,letters_lower,0.7951,0.7951,0.7448,0.7448,0.0334,0.7066,5,90.0
big-n5,big,5,letters_lower_a_dejavuserif-bold,letters_lower,0.7813,0.7813,0.7247,0.7247,0.0486,0.6571,5,91.0
big-n5,big,5,letters_lower_b_dejavusans-bold,letters_lower,0.8213,0.8213,0.7772,0.7772,0.0365,0.7283,5,89.2
big-n5,big,5,letters_lower_b_dejavusansmono-bold,letters_lower,0.8228,0.8228,0.7653,0.7653,0.0502,0.696,5,87.9
big-n5,big,5,letters_lower_b_dejavuserif-bold,letters_lower,0.7965,0.7965,0.7503,0.7503,0.0307,0.7166,5,89.6
big-n5,big,5,letters_lower_c_dejavusans-bold,letters_lower,0.8485,0.8485,0.8085,0.8085,0.029,0.7743,5,91.4
big-n5,big,5,letters_lower_c_dejavusansmono-bold,letters_lower,0.8013,0.8013,0.7615,0.7615,0.0314,0.7221,5,90.1
big-n5,big,5,letters_lower_c_dejavuserif-bold,letters_lower,0.7124,0.7124,0.6897,0.6897,0.0252,0.6421,5,88.4
big-n5,big,5,letters_lower_d_dejavusans-bold,letters_lower,0.7854,0.7854,0.7666,0.7666,0.018,0.7349,5,89.1
big-n5,big,5,letters_lower_d_dejavusansmono-bold,letters_lower,0.7871,0.7871,0.765,0.765,0.0189,0.7321,5,88.1
big-n5,big,5,letters_lower_d_dejavuserif-bold,letters_lower,0.7739,0.7739,0.7379,0.7379,0.0278,0.7043,5,89.6
big-n5,big,5,letters_lower_e_dejavusans-bold,letters_lower,0.798,0.798,0.7468,0.7468,0.0316,0.7168,5,90.4
big-n5,big,5,letters_lower_e_dejavusansmono-bold,letters_lower,0.7422,0.7422,0.7086,0.7086,0.0243,0.6714,5,90.2
big-n5,big,5,letters_lower_e_dejavuserif-bold,letters_lower,0.7178,0.7178,0.7074,0.7074,0.0083,0.6937,5,89.1
big-n5,big,5,letters_lower_f_dejavusans-bold,letters_lower,0.8105,0.8105,0.7987,0.7987,0.0151,0.7704,5,89.2
big-n5,big,5,letters_lower_f_dejavusansmono-bold,letters_lower,0.7152,0.7152,0.6917,0.6917,0.0195,0.6621,5,91.9
big-n5,big,5,letters_lower_f_dejavuserif-bold,letters_lower,0.7853,0.7853,0.7351,0.7351,0.0354,0.6886,5,90.7
big-n5,big,5,letters_lower_g_dejavusans-bold,letters_lower,0.7837,0.7837,0.7723,0.7723,0.0108,0.7566,5,90.7
big-n5,big,5,letters_lower_g_dejavusansmono-bold,letters_lower,0.7888,0.7888,0.7723,0.7723,0.0126,0.7544,5,88.6
big-n5,big,5,letters_lower_g_dejavuserif-bold,letters_lower,0.7343,0.7343,0.7293,0.7293,0.0039,0.7247,5,87.9
big-n5,big,5,letters_lower_h_dejavusans-bold,letters_lower,0.7636,0.7636,0.7342,0.7342,0.0331,0.6699,5,89.7
big-n5,big,5,letters_lower_h_dejavusansmono-bold,letters_lower,0.7317,0.7317,0.7143,0.7143,0.0193,0.6771,5,90.9
big-n5,big,5,letters_lower_h_dejavuserif-bold,letters_lower,0.7673,0.7673,0.7458,0.7458,0.0166,0.7241,5,90.7
big-n5,big,5,letters_lower_i_dejavusans-bold,letters_lower,0.7668,0.7668,0.7222,0.7222,0.035,0.6615,5,92.5
big-n5,big,5,letters_lower_i_dejavusansmono-bold,letters_lower,0.7329,0.7329,0.7095,0.7095,0.0187,0.6829,5,90.8
big-n5,big,5,letters_lower_i_dejavuserif-bold,letters_lower,0.7538,0.7538,0.7344,0.7344,0.017,0.7138,5,90.9
big-n5,big,5,letters_lower_j_dejavusans-bold,letters_lower,0.7165,0.7165,0.6736,0.6736,0.0381,0.6233,5,90.6
big-n5,big,5,letters_lower_j_dejavusansmono-bold,letters_lower,0.5626,0.5626,0.5436,0.5436,0.0131,0.5272,5,90.3
big-n5,big,5,letters_lower_j_dejavuserif-bold,letters_lower,0.6449,0.6449,0.6118,0.6118,0.0371,0.5434,5,91.9
big-n5,big,5,letters_lower_k_dejavusans-bold,letters_lower,0.8041,0.8041,0.7836,0.7836,0.0111,0.7732,5,89.4
big-n5,big,5,letters_lower_k_dejavusansmono-bold,letters_lower,0.7566,0.7566,0.7461,0.7461,0.0061,0.7396,5,89.3
big-n5,big,5,letters_lower_k_dejavuserif-bold,letters_lower,0.7552,0.7552,0.7197,0.7197,0.0269,0.6887,5,89.8
big-n5,big,5,letters_lower_l_dejavusans-bold,letters_lower,0.8254,0.8254,0.7883,0.7883,0.0225,0.7632,5,90.4
big-n5,big,5,letters_lower_l_dejavusansmono-bold,letters_lower,0.7928,0.7928,0.7159,0.7159,0.0438,0.6699,5,90.8
big-n5,big,5,letters_lower_l_dejavuserif-bold,letters_lower,0.8206,0.8206,0.7887,0.7887,0.0287,0.751,5,88.0
big-n5,big,5,letters_lower_m_dejavusans-bold,letters_lower,0.6966,0.6966,0.672,0.672,0.0232,0.6286,5,90.3
big-n5,big,5,letters_lower_m_dejavusansmono-bold,letters_lower,0.7087,0.7087,0.6912,0.6912,0.022,0.649,5,91.9
big-n5,big,5,letters_lower_m_dejavuserif-bold,letters_lower,0.6819,0.6819,0.668,0.668,0.0074,0.6596,5,90.3
big-n5,big,5,letters_lower_n_dejavusans-bold,letters_lower,0.7294,0.7294,0.7078,0.7078,0.0167,0.6865,5,92.6
big-n5,big,5,letters_lower_n_dejavusansmono-bold,letters_lower,0.7908,0.7908,0.7688,0.7688,0.0126,0.7525,5,88.4
big-n5,big,5,letters_lower_n_dejavuserif-bold,letters_lower,0.7781,0.7781,0.7454,0.7454,0.0221,0.7089,5,90.2
big-n5,big,5,letters_lower_o_dejavusans-bold,letters_lower,0.8457,0.8457,0.8053,0.8053,0.0256,0.7728,5,89.3
big-n5,big,5,letters_lower_o_dejavusansmono-bold,letters_lower,0.8281,0.8281,0.8132,0.8132,0.0149,0.7867,5,91.9
big-n5,big,5,letters_lower_o_dejavuserif-bold,letters_lower,0.8232,0.8232,0.7912,0.7912,0.0173,0.7754,5,92.1
big-n5,big,5,letters_lower_p_dejavusans-bold,letters_lower,0.79,0.79,0.7624,0.7624,0.0233,0.7193,5,89.4
big-n5,big,5,letters_lower_p_dejavusansmono-bold,letters_lower,0.7485,0.7485,0.7449,0.7449,0.0042,0.7369,5,88.1
big-n5,big,5,letters_lower_p_dejavuserif-bold,letters_lower,0.7821,0.7821,0.7354,0.7354,0.0295,0.6895,5,90.7
big-n5,big,5,letters_lower_q_dejavusans-bold,letters_lower,0.7259,0.7259,0.7147,0.7147,0.0079,0.7039,5,90.2
big-n5,big,5,letters_lower_q_dejavusansmono-bold,letters_lower,0.7134,0.7134,0.6846,0.6846,0.0251,0.6546,5,91.3
big-n5,big,5,letters_lower_q_dejavuserif-bold,letters_lower,0.7017,0.7017,0.697,0.697,0.0045,0.6899,5,90.7
big-n5,big,5,letters_lower_r_dejavusans-bold,letters_lower,0.9086,0.9086,0.8839,0.8839,0.0132,0.8694,5,90.8
big-n5,big,5,letters_lower_r_dejavusansmono-bold,letters_lower,0.8717,0.8717,0.8357,0.8357,0.0192,0.816,5,89.0
big-n5,big,5,letters_lower_r_dejavuserif-bold,letters_lower,0.8119,0.8119,0.7994,0.7994,0.0109,0.7832,5,90.9
big-n5,big,5,letters_lower_s_dejavusans-bold,letters_lower,0.7743,0.7743,0.7164,0.7164,0.0387,0.6671,5,90.4
big-n5,big,5,letters_lower_s_dejavusansmono-bold,letters_lower,0.7347,0.7347,0.7212,0.7212,0.013,0.7027,5,92.8
big-n5,big,5,letters_lower_s_dejavuserif-bold,letters_lower,0.6625,0.6625,0.6536,0.6536,0.0076,0.6442,5,91.6
big-n5,big,5,letters_lower_t_dejavusans-bold,letters_lower,0.8049,0.8049,0.7951,0.7951,0.0089,0.78,5,93.2
big-n5,big,5,letters_lower_t_dejavusansmono-bold,letters_lower,0.7567,0.7567,0.7265,0.7265,0.0273,0.6888,5,92.9
big-n5,big,5,letters_lower_t_dejavuserif-bold,letters_lower,0.8168,0.8168,0.7843,0.7843,0.0277,0.7436,5,90.9
big-n5,big,5,letters_lower_u_dejavusans-bold,letters_lower,0.8396,0.8396,0.8128,0.8128,0.0179,0.7882,5,90.3
big-n5,big,5,letters_lower_u_dejavusansmono-bold,letters_lower,0.849,0.849,0.8023,0.8023,0.0248,0.7783,5,89.0
big-n5,big,5,letters_lower_u_dejavuserif-bold,letters_lower,0.7578,0.7578,0.737,0.737,0.0193,0.7012,5,90.1
big-n5,big,5,letters_lower_v_dejavusans-bold,letters_lower,0.8727,0.8727,0.8526,0.8526,0.0149,0.833,5,87.6
big-n5,big,5,letters_lower_v_dejavusansmono-bold,letters_lower,0.8496,0.8496,0.8195,0.8195,0.0234,0.7845,5,89.4
big-n5,big,5,letters_lower_v_dejavuserif-bold,letters_lower,0.7929,0.7929,0.7555,0.7555,0.0241,0.7264,5,89.4
big-n5,big,5,letters_lower_w_dejavusans-bold,letters_lower,0.749,0.749,0.7216,0.7216,0.0249,0.6823,5,90.9
big-n5,big,5,letters_lower_w_dejavusansmono-bold,letters_lower,0.7593,0.7593,0.7406,0.7406,0.0121,0.7264,5,90.3
big-n5,big,5,letters_lower_w_dejavuserif-bold,letters_lower,0.6651,0.6651,0.6505,0.6505,0.0173,0.6199,5,91.7
big-n5,big,5,letters_lower_x_dejavusans-bold,letters_lower,0.797,0.797,0.7615,0.7615,0.0317,0.7059,5,91.0
big-n5,big,5,letters_lower_x_dejavusansmono-bold,letters_lower,0.7529,0.7529,0.7311,0.7311,0.0265,0.6824,5,88.5
big-n5,big,5,letters_lower_x_dejavuserif-bold,letters_lower,0.7676,0.7676,0.7466,0.7466,0.0273,0.6931,5,91.4
big-n5,big,5,letters_lower_y_dejavusans-bold,letters_lower,0.8165,0.8165,0.7865,0.7865,0.0243,0.7584,5,88.1
big-n5,big,5,letters_lower_y_dejavusansmono-bold,letters_lower,0.7871,0.7871,0.7456,0.7456,0.0245,0.7172,5,89.3
big-n5,big,5,letters_lower_y_dejavuserif-bold_v2,letters_lower,0.7455,0.7455,0.7354,0.7354,0.0118,0.7175,5,88.1
big-n5,big,5,letters_lower_z_dejavusans-bold,letters_lower,0.8133,0.8133,0.7838,0.7838,0.0211,0.7576,5,89.0
big-n5,big,5,letters_lower_z_dejavusansmono-bold,letters_lower,0.7821,0.7821,0.7507,0.7507,0.0317,0.6907,5,90.1
big-n5,big,5,letters_lower_z_dejavuserif-bold,letters_lower,0.7438,0.7438,0.7223,0.7223,0.0163,0.7038,5,90.0
big-n5,big,5,letters_upper_A_dejavusans-bold,letters_upper,0.8124,0.8124,0.7747,0.7747,0.021,0.7563,5,89.2
big-n5,big,5,letters_upper_A_dejavusansmono-bold,letters_upper,0.7477,0.7477,0.7303,0.7303,0.0113,0.7161,5,89.8
big-n5,big,5,letters_upper_A_dejavuserif-bold,letters_upper,0.6547,0.6547,0.6212,0.6212,0.0299,0.5773,5,88.9
big-n5,big,5,letters_upper_B_dejavusans-bold,letters_upper,0.8027,0.8027,0.7816,0.7816,0.017,0.7606,5,89.8
big-n5,big,5,letters_upper_B_dejavusansmono-bold,letters_upper,0.7761,0.7761,0.7568,0.7568,0.0154,0.7352,5,89.1
big-n5,big,5,letters_upper_B_dejavuserif-bold,letters_upper,0.792,0.792,0.7278,0.7278,0.0424,0.6834,5,89.8
big-n5,big,5,letters_upper_C_dejavusans-bold,letters_upper,0.7997,0.7997,0.7471,0.7471,0.0283,0.7175,5,89.4
big-n5,big,5,letters_upper_C_dejavusansmono-bold,letters_upper,0.7454,0.7454,0.7229,0.7229,0.0295,0.6667,5,89.0
big-n5,big,5,letters_upper_C_dejavuserif-bold,letters_upper,0.6739,0.6739,0.6418,0.6418,0.0202,0.6217,5,87.6
big-n5,big,5,letters_upper_D_dejavusans-bold,letters_upper,0.8458,0.8458,0.8133,0.8133,0.018,0.7935,5,89.7
big-n5,big,5,letters_upper_D_dejavusansmono-bold,letters_upper,0.8397,0.8397,0.8029,0.8029,0.0243,0.7757,5,88.4
big-n5,big,5,letters_upper_D_dejavuserif-bold,letters_upper,0.8076,0.8076,0.7512,0.7512,0.0502,0.6704,5,90.4
big-n5,big,5,letters_upper_E_dejavusans-bold,letters_upper,0.812,0.812,0.7603,0.7603,0.0361,0.7086,5,90.5
big-n5,big,5,letters_upper_E_dejavusansmono-bold,letters_upper,0.7771,0.7771,0.7448,0.7448,0.022,0.7205,5,90.6
big-n5,big,5,letters_upper_E_dejavuserif-bold,letters_upper,0.696,0.696,0.6719,0.6719,0.0178,0.6492,5,91.7
big-n5,big,5,letters_upper_F_dejavusans-bold,letters_upper,0.7865,0.7865,0.7401,0.7401,0.0358,0.68,5,90.4
big-n5,big,5,letters_upper_F_dejavusansmono-bold,letters_upper,0.7722,0.7722,0.7418,0.7418,0.02,0.7183,5,91.1
big-n5,big,5,letters_upper_F_dejavuserif-bold,letters_upper,0.7275,0.7275,0.7097,0.7097,0.0131,0.6928,5,91.2
big-n5,big,5,letters_upper_G_dejavusans-bold,letters_upper,0.7225,0.7225,0.6935,0.6935,0.0225,0.658,5,92.3
big-n5,big,5,letters_upper_G_dejavusansmono-bold,letters_upper,0.712,0.712,0.6896,0.6896,0.0206,0.6617,5,90.0
big-n5,big,5,letters_upper_G_dejavuserif-bold,letters_upper,0.6631,0.6631,0.6121,0.6121,0.032,0.5718,5,89.8
big-n5,big,5,letters_upper_H_dejavusans-bold,letters_upper,0.7203,0.7203,0.6921,0.6921,0.0164,0.6721,5,90.9
big-n5,big,5,letters_upper_H_dejavusansmono-bold,letters_upper,0.7705,0.7705,0.7366,0.7366,0.0219,0.708,5,91.6
big-n5,big,5,letters_upper_H_dejavuserif-bold,letters_upper,0.6899,0.6899,0.6431,0.6431,0.027,0.6175,5,89.5
big-n5,big,5,letters_upper_I_dejavusans-bold,letters_upper,0.8559,0.8559,0.78,0.78,0.0403,0.7362,5,89.9
big-n5,big,5,letters_upper_I_dejavusansmono-bold,letters_upper,0.7686,0.7686,0.7535,0.7535,0.0093,0.7425,5,90.0
big-n5,big,5,letters_upper_I_dejavuserif-bold,letters_upper,0.8449,0.8449,0.8044,0.8044,0.024,0.7704,5,91.1
big-n5,big,5,letters_upper_J_dejavusans-bold,letters_upper,0.8185,0.8185,0.7742,0.7742,0.039,0.7063,5,91.0
big-n5,big,5,letters_upper_J_dejavusansmono-bold,letters_upper,0.7369,0.7369,0.68,0.68,0.0462,0.6223,5,89.3
big-n5,big,5,letters_upper_J_dejavuserif-bold,letters_upper,0.7337,0.7337,0.7072,0.7072,0.0269,0.6593,5,91.5
big-n5,big,5,letters_upper_K_dejavusans-bold,letters_upper,0.7356,0.7356,0.6997,0.6997,0.0228,0.6685,5,89.1
big-n5,big,5,letters_upper_K_dejavusansmono-bold,letters_upper,0.7472,0.7472,0.716,0.716,0.0226,0.6922,5,89.2
big-n5,big,5,letters_upper_K_dejavuserif-bold,letters_upper,0.7068,0.7068,0.6803,0.6803,0.0167,0.6624,5,89.0
big-n5,big,5,letters_upper_L_dejavusans-bold,letters_upper,0.9315,0.9315,0.8894,0.8894,0.0395,0.8281,5,91.7
big-n5,big,5,letters_upper_L_dejavusansmono-bold,letters_upper,0.8613,0.8613,0.7957,0.7957,0.0344,0.7663,5,89.1
big-n5,big,5,letters_upper_L_dejavuserif-bold,letters_upper,0.8633,0.8633,0.8166,0.8166,0.0331,0.7743,5,91.3
big-n5,big,5,letters_upper_M_dejavusans-bold,letters_upper,0.7036,0.7036,0.6942,0.6942,0.0093,0.6784,5,90.0
big-n5,big,5,letters_upper_M_dejavusansmono-bold,letters_upper,0.6767,0.6767,0.6505,0.6505,0.0204,0.6189,5,89.6
big-n5,big,5,letters_upper_M_dejavuserif-bold_v2,letters_upper,0.7659,0.7659,0.753,0.753,0.0104,0.7396,5,91.3
big-n5,big,5,letters_upper_N_dejavusans-bold,letters_upper,0.7383,0.7383,0.7119,0.7119,0.0214,0.6879,5,89.1
big-n5,big,5,letters_upper_N_dejavusansmono-bold,letters_upper,0.7403,0.7403,0.7189,0.7189,0.0138,0.6986,5,87.6
big-n5,big,5,letters_upper_N_dejavuserif-bold_v2,letters_upper,0.6914,0.6914,0.6612,0.6612,0.0209,0.6313,5,89.8
big-n5,big,5,letters_upper_O_dejavusans-bold,letters_upper,0.8141,0.8141,0.779,0.779,0.0298,0.7472,5,90.1
big-n5,big,5,letters_upper_O_dejavusansmono-bold,letters_upper,0.8257,0.8257,0.7853,0.7853,0.0398,0.7151,5,92.1
big-n5,big,5,letters_upper_O_dejavuserif-bold,letters_upper,0.7559,0.7559,0.7218,0.7218,0.0273,0.6771,5,93.4
big-n5,big,5,letters_upper_P_dejavusans-bold,letters_upper,0.7845,0.7845,0.7659,0.7659,0.017,0.7452,5,92.0
big-n5,big,5,letters_upper_P_dejavusansmono-bold,letters_upper,0.775,0.775,0.7386,0.7386,0.0207,0.7125,5,90.0
big-n5,big,5,letters_upper_P_dejavuserif-bold,letters_upper,0.7617,0.7617,0.7489,0.7489,0.0143,0.7295,5,89.2
big-n5,big,5,letters_upper_Q_dejavusans-bold,letters_upper,0.7444,0.7444,0.7191,0.7191,0.0231,0.6775,5,88.1
big-n5,big,5,letters_upper_Q_dejavusansmono-bold,letters_upper,0.7067,0.7067,0.6943,0.6943,0.007,0.6877,5,87.7
big-n5,big,5,letters_upper_Q_dejavuserif-bold,letters_upper,0.6805,0.6805,0.6526,0.6526,0.0313,0.5935,5,87.7
big-n5,big,5,letters_upper_R_dejavusans-bold,letters_upper,0.7423,0.7423,0.7348,0.7348,0.0072,0.7227,5,88.3
big-n5,big,5,letters_upper_R_dejavusansmono-bold,letters_upper,0.7287,0.7287,0.7093,0.7093,0.0138,0.6858,5,87.6
big-n5,big,5,letters_upper_R_dejavuserif-bold,letters_upper,0.7382,0.7382,0.7085,0.7085,0.0211,0.6733,5,88.4
big-n5,big,5,letters_upper_S_dejavusans-bold,letters_upper,0.7521,0.7521,0.7323,0.7323,0.013,0.715,5,91.4
big-n5,big,5,letters_upper_S_dejavusansmono-bold,letters_upper,0.683,0.683,0.6661,0.6661,0.0138,0.6455,5,90.9
big-n5,big,5,letters_upper_S_dejavuserif-bold,letters_upper,0.6476,0.6476,0.6018,0.6018,0.037,0.547,5,92.4
big-n5,big,5,letters_upper_T_dejavusans-bold,letters_upper,0.7971,0.7971,0.7802,0.7802,0.0172,0.7496,5,91.6
big-n5,big,5,letters_upper_T_dejavusansmono-bold,letters_upper,0.7391,0.7391,0.6904,0.6904,0.0272,0.6629,5,91.4
big-n5,big,5,letters_upper_T_dejavuserif-bold,letters_upper,0.7384,0.7384,0.7004,0.7004,0.0249,0.672,5,90.3
big-n5,big,5,letters_upper_U_dejavusans-bold,letters_upper,0.8284,0.8284,0.7836,0.7836,0.0331,0.7269,5,88.8
big-n5,big,5,letters_upper_U_dejavusansmono-bold,letters_upper,0.8035,0.8035,0.7862,0.7862,0.0115,0.7732,5,88.8
big-n5,big,5,letters_upper_U_dejavuserif-bold_v2,letters_upper,0.7495,0.7495,0.7277,0.7277,0.0142,0.705,5,90.1
big-n5,big,5,letters_upper_V_dejavusans-bold,letters_upper,0.8703,0.8703,0.8449,0.8449,0.0137,0.8312,5,87.5
big-n5,big,5,letters_upper_V_dejavusansmono-bold,letters_upper,0.8134,0.8134,0.7786,0.7786,0.0288,0.7441,5,89.3
big-n5,big,5,letters_upper_V_dejavuserif-bold_v2,letters_upper,0.7994,0.7994,0.7824,0.7824,0.0163,0.7616,5,88.7
big-n5,big,5,letters_upper_W_dejavusans-bold,letters_upper,0.7106,0.7106,0.6732,0.6732,0.0226,0.6405,5,91.8
big-n5,big,5,letters_upper_W_dejavusansmono-bold,letters_upper,0.7684,0.7684,0.7441,0.7441,0.0167,0.7254,5,90.3
big-n5,big,5,letters_upper_W_dejavuserif-bold,letters_upper,0.5977,0.5977,0.5757,0.5757,0.0181,0.556,5,90.0
big-n5,big,5,letters_upper_X_dejavusans-bold,letters_upper,0.7644,0.7644,0.7369,0.7369,0.0239,0.7045,5,92.6
big-n5,big,5,letters_upper_X_dejavusansmono-bold,letters_upper,0.7591,0.7591,0.701,0.701,0.0347,0.6548,5,89.2
big-n5,big,5,letters_upper_X_dejavuserif-bold,letters_upper,0.6973,0.6973,0.6761,0.6761,0.022,0.6389,5,90.4
big-n5,big,5,letters_upper_Y_dejavusans-bold,letters_upper,0.8432,0.8432,0.8077,0.8077,0.037,0.7601,5,91.5
big-n5,big,5,letters_upper_Y_dejavusansmono-bold,letters_upper,0.7499,0.7499,0.7359,0.7359,0.0153,0.7096,5,92.2
big-n5,big,5,letters_upper_Y_dejavuserif-bold,letters_upper,0.7757,0.7757,0.7597,0.7597,0.0121,0.7455,5,91.8
big-n5,big,5,letters_upper_Z_dejavusans-bold,letters_upper,0.7804,0.7804,0.7546,0.7546,0.0187,0.7247,5,90.3
big-n5,big,5,letters_upper_Z_dejavusansmono-bold,letters_upper,0.7694,0.7694,0.7397,0.7397,0.0289,0.685,5,94.6
big-n5,big,5,letters_upper_Z_dejavuserif-bold,letters_upper,0.733,0.733,0.7109,0.7109,0.0312,0.6501,5,92.1
small-n3,small,3,digits_0_dejavusans-bold,digits,0.7779,0.7779,0.7239,0.7239,0.0437,0.6453,5,45.0
small-n3,small,3,digits_0_dejavusansmono-bold,digits,0.7493,0.7493,0.7233,0.7233,0.0174,0.7022,5,44.8
small-n3,small,3,digits_0_dejavuserif-bold,digits,0.6967,0.6967,0.6699,0.6699,0.0192,0.6385,5,46.0
small-n3,small,3,digits_1_dejavusans-bold,digits,0.7902,0.7902,0.7671,0.7671,0.0177,0.7393,5,45.1
small-n3,small,3,digits_1_dejavusansmono-bold,digits,0.7716,0.7716,0.7413,0.7413,0.0201,0.72,5,45.9
small-n3,small,3,digits_1_dejavuserif-bold,digits,0.7989,0.7989,0.7774,0.7774,0.0227,0.736,5,44.8
small-n3,small,3,digits_2_dejavusans-bold,digits,0.6672,0.6672,0.6181,0.6181,0.0378,0.5734,5,42.6
small-n3,small,3,digits_2_dejavusansmono-bold,digits,0.6543,0.6543,0.6048,0.6048,0.0266,0.5789,5,43.8
small-n3,small,3,digits_2_dejavuserif-bold,digits,0.6692,0.6692,0.6113,0.6113,0.0411,0.5603,5,43.5
small-n3,small,3,digits_3_dejavusans-bold,digits,0.608,0.608,0.6011,0.6011,0.0054,0.5945,5,43.4
small-n3,small,3,digits_3_dejavusansmono-bold,digits,0.6124,0.6124,0.5757,0.5757,0.0207,0.5519,5,43.5
small-n3,small,3,digits_3_dejavuserif-bold,digits,0.6056,0.6056,0.5652,0.5652,0.0247,0.5384,5,42.2
small-n3,small,3,digits_4_dejavusans-bold,digits,0.6724,0.6724,0.648,0.648,0.0232,0.6061,5,43.0
small-n3,small,3,digits_4_dejavusansmono-bold,digits,0.6703,0.6703,0.6494,0.6494,0.0172,0.6266,5,43.9
small-n3,small,3,digits_4_dejavuserif-bold,digits,0.6462,0.6462,0.6271,0.6271,0.023,0.5853,5,42.7
small-n3,small,3,digits_5_dejavusans-bold,digits,0.6127,0.6127,0.5949,0.5949,0.0146,0.5786,5,43.2
small-n3,small,3,digits_5_dejavusansmono-bold,digits,0.6308,0.6308,0.61,0.61,0.0258,0.565,5,42.7
small-n3,small,3,digits_5_dejavuserif-bold,digits,0.6017,0.6017,0.521,0.521,0.0516,0.4428,5,42.4
small-n3,small,3,digits_6_dejavusans-bold,digits,0.7198,0.7198,0.6826,0.6826,0.0341,0.625,5,42.8
small-n3,small,3,digits_6_dejavusansmono-bold,digits,0.7603,0.7603,0.7182,0.7182,0.0351,0.6761,5,42.9
small-n3,small,3,digits_6_dejavuserif-bold,digits,0.6777,0.6777,0.653,0.653,0.0327,0.5893,5,42.5
small-n3,small,3,digits_7_dejavusans-bold,digits,0.7801,0.7801,0.749,0.749,0.0269,0.7095,5,42.3
small-n3,small,3,digits_7_dejavusansmono-bold,digits,0.7266,0.7266,0.7233,0.7233,0.0059,0.7115,5,42.7
small-n3,small,3,digits_7_dejavuserif-bold,digits,0.5847,0.5847,0.5322,0.5322,0.0328,0.4906,5,43.4
small-n3,small,3,digits_8_dejavusans-bold,digits,0.7391,0.7391,0.6815,0.6815,0.0452,0.6267,5,43.8
small-n3,small,3,digits_8_dejavusansmono-bold,digits,0.7039,0.7039,0.6806,0.6806,0.0247,0.634,5,44.5
small-n3,small,3,digits_8_dejavuserif-bold,digits,0.6876,0.6876,0.6375,0.6375,0.0421,0.5767,5,44.1
small-n3,small,3,digits_9_dejavusans-bold,digits,0.7161,0.7161,0.6865,0.6865,0.0265,0.6505,5,44.2
small-n3,small,3,digits_9_dejavusansmono-bold,digits,0.7223,0.7223,0.6902,0.6902,0.0249,0.6545,5,44.2
small-n3,small,3,digits_9_dejavuserif-bold,digits,0.6853,0.6853,0.6587,0.6587,0.0135,0.6483,5,43.6
small-n3,small,3,letters_lower_a_dejavusans-bold,letters_lower,0.673,0.673,0.6605,0.6605,0.0108,0.6426,5,43.1
small-n3,small,3,letters_lower_a_dejavusansmono-bold,letters_lower,0.6894,0.6894,0.6357,0.6357,0.037,0.5738,5,43.7
small-n3,small,3,letters_lower_a_dejavuserif-bold,letters_lower,0.6889,0.6889,0.6589,0.6589,0.0214,0.6308,5,43.8
small-n3,small,3,letters_lower_b_dejavusans-bold,letters_lower,0.7395,0.7395,0.7114,0.7114,0.019,0.6887,5,43.1
small-n3,small,3,letters_lower_b_dejavusansmono-bold,letters_lower,0.7537,0.7537,0.7305,0.7305,0.0272,0.6913,5,42.4
small-n3,small,3,letters_lower_b_dejavuserif-bold,letters_lower,0.7513,0.7513,0.7218,0.7218,0.0288,0.6744,5,43.5
small-n3,small,3,letters_lower_c_dejavusans-bold,letters_lower,0.7567,0.7567,0.7084,0.7084,0.0375,0.6703,5,43.7
small-n3,small,3,letters_lower_c_dejavusansmono-bold,letters_lower,0.7343,0.7343,0.6684,0.6684,0.0556,0.5842,5,44.0
small-n3,small,3,letters_lower_c_dejavuserif-bold,letters_lower,0.6842,0.6842,0.6566,0.6566,0.0282,0.6131,5,44.2
small-n3,small,3,letters_lower_d_dejavusans-bold,letters_lower,0.7222,0.7222,0.6967,0.6967,0.0229,0.6672,5,43.4
small-n3,small,3,letters_lower_d_dejavusansmono-bold,letters_lower,0.7559,0.7559,0.7135,0.7135,0.0289,0.6784,5,43.8
